date,min,max
2015-01-01,-12.031,8.858
2015-01-02,-13.136,9.459
2015-01-03,-13.976,9.593
2015-01-04,-14.134,9.908
2015-01-05,-14.085,10.335
2015-01-06,-13.806,9.734
2015-01-07,-13.911,9.18
2015-01-08,-13.241,9.085
2015-01-09,-11.804,9.226
2015-01-10,-10.525,8.497
2015-01-11,-9.117,8.018
2015-01-12,-7.208,7.562
2015-01-13,-5.39,7.464
2015-01-14,-6.024,6.949
2015-01-15,-6.565,8.12
2015-01-16,-8.953,8.629
2015-01-17,-11.073,9.488
2015-01-18,-13.146,10.44
2015-01-19,-14.859,11.352
2015-01-20,-14.856,12.812
2015-01-21,-15.125,13.215
2015-01-22,-15.177,12.917
2015-01-23,-14.711,12.795
2015-01-24,-13.796,12.208
2015-01-25,-12.264,11.339
2015-01-26,-10.745,9.79
2015-01-27,-9.39,8.816
2015-01-28,-9.147,7.936
2015-01-29,-10.049,7.32
2015-01-30,-11.283,7.172
2015-01-31,-11.739,7.779
2015-02-01,-12.543,8.852
2015-02-02,-13.182,9.642
2015-02-03,-13.471,9.554
2015-02-04,-13.376,9.547
2015-02-05,-13.245,9.564
2015-02-06,-12.628,9.498
2015-02-07,-11.936,9.567
2015-02-08,-10.955,8.891
2015-02-09,-9.472,8.675
2015-02-10,-8.389,7.854
2015-02-11,-6.906,8.163
2015-02-12,-7.175,7.008
2015-02-13,-7.526,6.631
2015-02-14,-9.688,7.133
2015-02-15,-11.109,7.697
2015-02-16,-12.192,10.19
2015-02-17,-14.39,11.296
2015-02-18,-15.22,12.221
2015-02-19,-15.866,12.415
2015-02-20,-15.689,12.523
2015-02-21,-14.872,12.822
2015-02-22,-13.675,13.041
2015-02-23,-12.123,11.886
2015-02-24,-11.388,9.797
2015-02-25,-10.203,7.782
2015-02-26,-9.839,5.876
2015-02-27,-9.455,4.898
2015-02-28,-9.918,5.436
2015-03-01,-11.175,5.633
2015-03-02,-11.424,7.175
2015-03-03,-12.014,8.297
2015-03-04,-11.965,9.062
2015-03-05,-12.159,9.528
2015-03-06,-11.709,9.432
2015-03-07,-11.552,9.97
2015-03-08,-11.66,9.252
2015-03-09,-11.955,8.691
2015-03-10,-11.394,8.241
